iter	Passed	Remaining
0	2	265
1	4	239
2	6	221
3	7	190
4	9	181
5	11	177
6	12	168
7	14	162
8	15	157
9	16	152
10	18	150
11	20	147
12	21	143
13	22	140
14	24	136
15	25	132
16	26	130
17	28	128
18	29	126
19	30	123
20	32	121
21	33	119
22	35	117
23	36	115
24	37	113
25	38	110
26	40	109
27	41	107
28	43	105
29	44	104
30	45	102
31	47	100
32	48	99
33	50	97
34	51	95
35	52	94
36	54	92
37	56	91
38	57	90
39	58	88
40	60	86
41	60	84
42	62	82
43	63	81
44	65	80
45	66	78
46	67	76
47	69	75
48	72	75
49	75	75
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	83	65
56	84	63
57	85	62
58	86	60
59	87	58
60	89	56
61	90	55
62	91	53
63	93	52
64	94	50
65	95	49
66	97	48
67	99	46
68	100	45
69	102	43
70	103	42
71	105	40
72	106	39
73	107	37
74	109	36
75	110	35
76	112	33
77	113	32
78	115	30
79	116	29
80	117	27
81	119	26
82	120	24
83	121	23
84	123	21
85	124	20
86	126	18
87	129	17
88	130	16
89	131	14
90	133	13
91	134	11
92	135	10
93	137	8
94	138	7
95	139	5
96	141	4
97	142	2
98	143	1
99	144	0
