iter	Passed	Remaining
0	59	59885
1	60	30358
2	61	20501
3	62	15552
4	63	12635
5	64	10705
6	65	9290
7	66	8224
8	67	7391
9	67	6713
10	68	6164
11	69	5712
12	70	5324
13	70	4997
14	71	4712
15	72	4465
16	73	4248
17	74	4051
18	75	3876
19	75	3719
20	76	3575
21	77	3464
22	79	3357
23	79	3250
24	80	3146
25	81	3052
26	82	2964
27	83	2883
28	83	2806
29	84	2737
30	85	2671
31	86	2610
32	87	2554
33	88	2500
34	88	2449
35	89	2400
36	90	2356
37	91	2311
38	92	2278
39	93	2247
40	94	2209
41	95	2173
42	96	2138
43	96	2106
44	97	2077
45	98	2048
46	99	2019
47	100	1990
48	101	1964
49	102	1938
50	103	1921
51	104	1899
52	105	1880
53	106	1864
54	107	1843
55	108	1823
56	109	1804
57	109	1785
58	110	1768
59	111	1751
60	112	1739
61	113	1722
62	114	1706
63	115	1691
64	116	1675
65	117	1662
66	118	1649
67	119	1635
68	120	1623
69	121	1611
70	122	1603
71	123	1592
72	124	1580
73	125	1568
74	126	1557
75	127	1545
76	128	1534
77	128	1524
78	129	1514
79	130	1504
80	131	1494
81	132	1485
82	133	1471
83	134	1462
84	135	1453
85	136	1446
86	137	1440
87	138	1433
88	139	1424
89	139	1415
90	140	1406
91	141	1396
92	142	1387
93	143	1379
94	143	1370
95	144	1362
96	145	1353
97	146	1345
98	147	1337
99	147	1330
100	148	1322
101	149	1316
102	150	1309
103	151	1303
104	152	1298
105	153	1291
106	154	1285
107	154	1278
108	156	1275
109	157	1271
110	158	1266
111	158	1260
112	159	1254
113	160	1248
114	161	1243
115	162	1237
116	163	1230
117	163	1224
118	164	1219
119	165	1215
120	166	1212
121	167	1206
122	168	1200
123	169	1195
124	170	1190
125	170	1184
126	171	1178
127	172	1173
128	173	1169
129	174	1164
130	174	1160
131	175	1156
132	177	1153
133	177	1149
134	178	1145
135	179	1142
136	180	1139
137	181	1136
138	182	1133
139	183	1128
140	184	1123
141	185	1118
142	185	1114
143	186	1110
144	187	1107
145	188	1103
146	189	1100
147	190	1095
148	191	1091
149	192	1088
150	192	1084
151	193	1080
152	194	1078
153	195	1076
154	196	1073
155	197	1070
156	198	1067
157	199	1063
158	200	1060
159	201	1057
160	202	1052
161	202	1049
162	203	1046
163	204	1043
164	205	1040
165	206	1037
166	207	1033
167	208	1030
168	208	1027
169	210	1025
170	211	1023
171	212	1021
172	213	1018
173	213	1015
174	214	1012
175	215	1009
176	216	1006
177	217	1003
178	217	999
179	218	996
180	219	993
181	220	990
182	221	987
183	221	984
184	222	981
185	223	978
186	224	975
187	225	974
188	226	972
189	227	969
190	228	966
191	229	964
192	229	961
193	230	958
194	231	956
195	232	953
196	233	950
197	234	948
198	234	945
199	235	943
200	236	941
201	237	938
202	238	936
203	239	934
204	240	931
205	241	929
206	241	927
207	242	924
208	243	922
209	244	920
210	245	918
211	246	916
212	247	914
213	248	912
214	249	910
215	250	908
216	251	906
217	251	903
218	252	901
219	253	899
220	254	896
221	255	895
222	257	895
223	257	893
224	258	891
225	259	889
226	260	888
227	261	886
228	263	885
229	264	884
230	265	882
231	266	880
232	266	878
233	267	876
234	268	873
235	269	871
236	270	870
237	271	869
238	272	866
239	273	865
240	274	863
241	275	861
242	276	860
243	277	859
244	278	858
245	279	855
246	280	853
247	280	851
248	281	849
249	282	847
250	283	845
251	284	843
252	285	843
253	286	841
254	287	839
255	288	837
256	289	836
257	290	834
258	291	833
259	292	831
260	292	829
261	293	827
262	294	825
263	295	823
264	296	821
265	296	819
266	297	817
267	298	816
268	300	815
269	301	814
270	302	812
271	303	811
272	304	810
273	305	809
274	306	807
275	307	805
276	308	804
277	309	802
278	310	801
279	311	799
280	312	798
281	313	797
282	314	797
283	315	796
284	316	794
285	317	793
286	318	792
287	319	790
288	320	788
289	321	787
290	322	785
291	323	783
292	324	781
293	324	780
294	325	778
295	326	777
296	327	775
297	328	774
298	329	773
299	330	771
300	331	770
301	332	768
302	334	768
303	335	767
304	335	765
305	336	763
306	337	762
307	339	762
308	341	763
309	342	763
310	344	762
311	345	761
312	346	760
313	348	761
314	350	761
315	351	760
316	352	759
317	353	758
318	354	756
319	355	755
320	356	753
321	357	752
322	359	752
323	360	753
324	361	751
325	362	750
326	363	748
327	365	747
328	366	748
329	368	748
330	369	747
331	370	746
332	371	744
333	374	747
334	376	747
335	378	747
336	379	747
337	380	745
338	382	745
339	382	743
340	384	742
341	385	741
342	392	751
343	394	751
344	395	750
345	396	748
346	397	747
347	397	745
348	398	743
349	399	742
350	400	740
351	401	739
352	403	739
353	404	738
354	405	737
355	406	735
356	407	733
357	408	732
358	409	730
359	410	728
360	410	727
361	411	725
362	412	724
363	413	722
364	414	720
365	415	719
366	416	717
367	417	716
368	419	716
369	420	715
370	421	714
371	422	712
372	422	710
373	423	709
374	424	707
375	425	705
376	426	704
377	427	702
378	427	701
379	428	699
380	429	697
381	430	696
382	431	695
383	433	694
384	434	694
385	435	692
386	436	691
387	437	689
388	438	688
389	439	686
390	439	685
391	440	683
392	441	682
393	442	680
394	443	678
395	444	677
396	444	675
397	446	674
398	447	673
399	448	672
400	449	671
401	450	670
402	451	668
403	452	667
404	453	665
405	453	664
406	454	662
407	455	661
408	456	659
409	457	658
410	458	657
411	460	657
412	462	656
413	463	656
414	465	656
415	466	655
416	468	654
417	469	653
418	469	651
419	470	650
420	471	648
421	472	647
422	473	645
423	474	644
424	476	644
425	477	643
426	479	643
427	480	642
428	481	641
429	482	639
430	483	638
431	484	636
432	485	635
433	486	634
434	487	632
435	487	631
436	489	630
437	491	630
438	494	631
439	496	631
440	498	631
441	500	631
442	510	641
443	512	642
444	514	641
445	557	692
446	559	692
447	561	691
448	562	690
449	563	688
450	564	687
451	565	685
452	566	683
453	567	681
454	567	680
455	568	678
456	569	677
457	570	675
458	571	674
459	572	672
460	573	670
461	574	668
462	575	667
463	576	665
464	577	663
465	577	662
466	578	660
467	579	658
468	580	657
469	581	655
470	582	654
471	583	652
472	584	651
473	585	650
474	586	648
475	587	646
476	588	645
477	590	644
478	591	643
479	592	642
480	593	640
481	594	639
482	595	637
483	596	636
484	597	634
485	598	633
486	599	631
487	601	630
488	601	628
489	602	627
490	603	625
491	604	624
492	605	622
493	606	621
494	607	619
495	608	617
496	608	616
497	609	614
498	610	613
499	611	611
500	612	610
501	613	608
502	615	607
503	616	606
504	617	605
505	618	603
506	619	602
507	620	601
508	621	599
509	622	598
510	623	596
511	624	595
512	625	593
513	626	592
514	627	590
515	627	588
516	628	587
517	630	586
518	631	585
519	632	584
520	633	582
521	634	581
522	635	579
523	636	578
524	637	576
525	637	574
526	638	573
527	639	571
528	640	570
529	641	568
530	642	567
531	642	565
532	644	564
533	645	563
534	647	562
535	648	560
536	648	559
537	649	558
538	650	556
539	651	555
540	652	553
541	653	552
542	654	550
543	654	549
544	655	547
545	656	546
546	657	544
547	658	543
548	660	542
549	661	541
550	662	540
551	663	538
552	664	537
553	665	535
554	666	534
555	667	533
556	668	531
557	669	530
558	670	528
559	671	527
560	672	525
561	673	524
562	674	523
563	676	522
564	677	521
565	678	519
566	678	518
567	679	517
568	680	515
569	681	514
570	682	512
571	683	511
572	683	509
573	684	508
574	685	506
575	686	505
576	687	503
577	688	502
578	689	501
579	691	500
580	691	499
581	692	497
582	693	496
583	694	494
584	695	493
585	696	491
586	696	490
587	697	488
588	698	487
589	699	485
590	700	484
591	701	483
592	701	481
593	703	481
594	704	479
595	705	478
596	706	477
597	707	475
598	708	474
599	709	472
600	710	471
601	711	470
602	713	469
603	713	468
604	714	466
605	715	465
606	716	463
607	717	462
608	719	461
609	720	460
610	721	459
611	722	457
612	722	456
613	723	455
614	724	453
615	725	452
616	726	450
617	727	449
618	727	447
619	728	446
620	729	445
621	730	443
622	731	442
623	732	441
624	734	440
625	735	439
626	736	437
627	737	436
628	737	435
629	738	433
630	739	432
631	740	431
632	741	429
633	741	428
